#TYPE System.Management.Automation.PSCustomObject
"name","sound[]","title"
"ADS_ANY_ATT_OPF_LEN_ARU_1","""fnf_media\radio\ADS_ANY_ATT_OPF_LEN_ARU_1"",20,1","We have taken the enemy Sector! *Jubilous Laughter* (Any Sector)"
"ADS_SEC1_ATT_OPF_LEN_ARU_1","""fnf_media\radio\ADS_SEC1_ATT_OPF_LEN_ARU_1"",20,1","We have taken Sector 1 from those dogs!"
"ADS_SEC1_ATT_OPF_LEN_ARU_3","""fnf_media\radio\ADS_SEC1_ATT_OPF_LEN_ARU_3"",20,1","Comrades, great news, Sector 1 is ours!"
"ADS_SEC1_DEF_OPF_LEN_ARU_1","""fnf_media\radio\ADS_SEC1_DEF_OPF_LEN_ARU_1"",20,1","Comrades, Sector 1 has been lost!"
"ADS_SEC1_DEF_OPF_LEN_ARU_2","""fnf_media\radio\ADS_SEC1_DEF_OPF_LEN_ARU_2"",20,1","Cyka, Sector 1 has been taken!"
"ADS_SEC2_ATT_OPF_LEN_ARU_2","""fnf_media\radio\ADS_SEC2_ATT_OPF_LEN_ARU_2"",20,1","Sector 2 has been captured from the enemy control!"
"ADS_SEC2_ATT_OPF_LEN_ARU_3","""fnf_media\radio\ADS_SEC2_ATT_OPF_LEN_ARU_3"",20,1","Sector 2 has been taken, that was easy!"
"ADS_SEC2_DEF_OPF_LEN_ARU_1","""fnf_media\radio\ADS_SEC2_DEF_OPF_LEN_ARU_1"",20,1","Sector 2 has been captured!"
"ADS_SEC2_DEF_OPF_LEN_ARU_2","""fnf_media\radio\ADS_SEC2_DEF_OPF_LEN_ARU_2"",20,1","Sector 2 has been taken!"
"ADS_SEC3_ATT_OPF_LEN_ARU_2","""fnf_media\radio\ADS_SEC3_ATT_OPF_LEN_ARU_2"",20,1","Sector 3 is taken, great work!"
"ADS_SEC3_ATT_OPF_LEN_ARU_4","""fnf_media\radio\ADS_SEC3_ATT_OPF_LEN_ARU_4"",20,1","Sector 3 has been captured by our forces!"
"ADS_SEC3_DEF_OPF_LEN_ARU_1","""fnf_media\radio\ADS_SEC3_DEF_OPF_LEN_ARU_1"",20,1","Sector 3 has been captured by the enemy!"
"ADS_SEC3_DEF_OPF_LEN_ARU_2","""fnf_media\radio\ADS_SEC3_DEF_OPF_LEN_ARU_2"",20,1","Sector 3 is gone!"
"ADS_SQ1_ATT_OPF_LEN_ARU_1","""fnf_media\radio\ADS_SQ1_ATT_OPF_LEN_ARU_1"",20,1","Sector 1 has been taken, now push on to the 2nd one Comrades!"
"ADS_SQ1_DEF_OPF_LEN_ARU_1","""fnf_media\radio\ADS_SQ1_DEF_OPF_LEN_ARU_1"",20,1","BLYAT, Sector 1 is lost! Retreat to Sector 2 Comrades!"
"ADS_SQ2_ATT_OPF_LEN_ARU_1","""fnf_media\radio\ADS_SQ2_ATT_OPF_LEN_ARU_1"",20,1","Sector 2 is now ours Comrades, lets push on to Sector 3 and end this fight!"
"ADS_SQ2_DEF_OPF_LEN_ARU_1","""fnf_media\radio\ADS_SQ2_DEF_OPF_LEN_ARU_1"",20,1","Sector 2 is gone, they took it! Fallback to Sector 3 before it's too late Comrades!"
"ADS_SQ3_ATT_OPF_LEN_ARU_1","""fnf_media\radio\ADS_SQ3_ATT_OPF_LEN_ARU_1"",20,1","Sector 3 is ours, Thank God, we can finally head home and drink Stoli!"
"ADS_SQ3_DEF_OPF_LEN_ARU_1","""fnf_media\radio\ADS_SQ3_DEF_OPF_LEN_ARU_1"",20,1","Sector 3 is lost! Retreat!"
"DES_ANY_ATT_OPF_LEN_ARU_1","""fnf_media\radio\DES_ANY_ATT_OPF_LEN_ARU_1"",20,1","Comrades, we blew up the objective, great job!"
"DES_ANY_ATT_OPF_LEN_ARU_3","""fnf_media\radio\DES_ANY_ATT_OPF_LEN_ARU_3"",20,1","We are getting medals for blowing up that one!"
"DES_ANY_ATT_OPF_LEN_ARU_5","""fnf_media\radio\DES_ANY_ATT_OPF_LEN_ARU_5"",20,1","*laughter*, another objective destroyed!"
"DES_ANY_ATT_OPF_LEN_ARU_7","""fnf_media\radio\DES_ANY_ATT_OPF_LEN_ARU_7"",20,1","Boom! Great work Comrades!"
"DES_ANY_DEF_OPF_LEN_ARU_1","""fnf_media\radio\DES_ANY_DEF_OPF_LEN_ARU_1"",20,1","CYKA, they blew up another objective!"
"DES_ANY_DEF_OPF_LEN_ARU_3","""fnf_media\radio\DES_ANY_DEF_OPF_LEN_ARU_3"",20,1","They just destroyed our objective!"
"DES_ANY_DEF_OPF_LEN_ARU_5","""fnf_media\radio\DES_ANY_DEF_OPF_LEN_ARU_5"",20,1","They blew it up, they blew up our objective!"
"END_LOSS_ATT_OPF_LEN_ARU_1","""fnf_media\radio\END_LOSS_ATT_OPF_LEN_ARU_1"",20,1","Cyka, all hope is lost, fallback!"
"END_LOSS_ATT_OPF_LEN_ARU_2","""fnf_media\radio\END_LOSS_ATT_OPF_LEN_ARU_2"",20,1","Pullback, we will get them next time!"
"END_LOSS_ATT_OPF_LEN_ARU_3","""fnf_media\radio\END_LOSS_ATT_OPF_LEN_ARU_3"",20,1","BLYAT, the enemy have held their ground, fallback!"
"END_LOSS_ATT_OPF_LEN_ARU_4","""fnf_media\radio\END_LOSS_ATT_OPF_LEN_ARU_4"",20,1","*cough* *cough*, everyone retreat.... (defeated sounding)"
"END_LOSS_DEF_OPF_LEN_ARU_1","""fnf_media\radio\END_LOSS_DEF_OPF_LEN_ARU_1"",20,1","Fallback! I say again, fallback Comrades!"
"END_LOSS_DEF_OPF_LEN_ARU_2","""fnf_media\radio\END_LOSS_DEF_OPF_LEN_ARU_2"",20,1","Retreat! Everyone retreat to the fallback line!"
"END_LOSS_DEF_OPF_LEN_ARU_3","""fnf_media\radio\END_LOSS_DEF_OPF_LEN_ARU_3"",20,1","Everyone reading this, retreat to rally point Moscow!"
"END_LOSS_DEF_OPF_LEN_ARU_4","""fnf_media\radio\END_LOSS_DEF_OPF_LEN_ARU_4"",20,1","Is anyone left? If you are reading this state your callsign and status!"
"END_WIN_ATT_OPF_LEN_ARU_1","""fnf_media\radio\END_WIN_ATT_OPF_LEN_ARU_1"",20,1","We did it Comrades! We completed all objectives!"
"END_WIN_ATT_OPF_LEN_ARU_2","""fnf_media\radio\END_WIN_ATT_OPF_LEN_ARU_2"",20,1","Oorah! We did it!"
"END_WIN_ATT_OPF_LEN_ARU_3","""fnf_media\radio\END_WIN_ATT_OPF_LEN_ARU_3"",20,1","We pushed them so hard they just gave up! *laughing*"
"END_WIN_ATT_OPF_LEN_ARU_4","""fnf_media\radio\END_WIN_ATT_OPF_LEN_ARU_4"",20,1","FOR THE MOTHERLAND! OORAH!"
"END_WIN_ATT_OPF_LEN_ARU_5","""fnf_media\radio\END_WIN_ATT_OPF_LEN_ARU_5"",20,1","That was tougher than I thought it would be!"
"END_WIN_ATT_OPF_LEN_ARU_6","""fnf_media\radio\END_WIN_ATT_OPF_LEN_ARU_6"",20,1","Mother Russia is proud of us Comrades!"
"END_WIN_DEF_OPF_LEN_ARU_1","""fnf_media\radio\END_WIN_DEF_OPF_LEN_ARU_1"",20,1","THey stood no chance against Mother Russia!"
"END_WIN_DEF_OPF_LEN_ARU_2","""fnf_media\radio\END_WIN_DEF_OPF_LEN_ARU_2"",20,1","Look at them run with their tail in between their legs! OORAHHHHHH!"
"END_WIN_DEF_OPF_LEN_ARU_3","""fnf_media\radio\END_WIN_DEF_OPF_LEN_ARU_3"",20,1","We held our ground, good work Comrades!"
"END_WIN_DEF_OPF_LEN_ARU_4","""fnf_media\radio\END_WIN_DEF_OPF_LEN_ARU_4"",20,1","Im thirsty for Stoli after that!"
"END_WIN_DEF_OPF_LEN_ARU_5","""fnf_media\radio\END_WIN_DEF_OPF_LEN_ARU_5"",20,1","Wooh! I worked up a sweat for nothing!"
"END_WIN_DEF_OPF_LEN_ARU_6","""fnf_media\radio\END_WIN_DEF_OPF_LEN_ARU_6"",20,1","Mother Russia now, Mother Russia FOREVER!"
"TER_ANYP_ATT_OPF_LEN_ARU_1","""fnf_media\radio\TER_ANYP_ATT_OPF_LEN_ARU_1"",20,1","Enemy have paused our hack on the Terminal! (ANY TERMINAL)"
"TER_ANYP_DEF_OPF_LEN_ARU_1","""fnf_media\radio\TER_ANYP_DEF_OPF_LEN_ARU_1"",20,1","The Terminal hack has been paused! (ANY TERMINAL)"
"TER_SQ1C_ATT_OPF_LEN_ARU_1","""fnf_media\radio\TER_SQ1C_ATT_OPF_LEN_ARU_1"",20,1","We have hacked Terminal 1! Now push to the second one, OOOORAHHHHHH!"
"TER_SQ1C_DEF_OPF_LEN_ARU_1","""fnf_media\radio\TER_SQ1C_DEF_OPF_LEN_ARU_1"",20,1","We just lost Terminal 1 Comrades! Retreat to the next Terminal!"
"TER_SQ2C_ATT_OPF_LEN_ARU_1","""fnf_media\radio\TER_SQ2C_ATT_OPF_LEN_ARU_1"",20,1","Terminal 2 is hacked! Push to the final one! Come on Comrades!"
